"File Name","Physical Name","Total Size in MB","Available Space In MB","file_id","Filegroup Name","is_percent_growth","growth","is_default","is_read_only"
"SGCReport","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\SGCReport.mdf","31529.88","2.38","1","PRIMARY","False","128","True","False"
"SGCReport_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\SGCReport_log.ldf","813.50","789.62","2","","True","10","",""
