"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.CTPhatSinh_KhuyenMaiPOS","USER_TABLE","IX_CTPhatSinh_KhuyenMaiPOS","1/1/2023 1:00:37 AM","False","False","False","False","False","31947","354"
"dbo.CTPhatSinh_KhuyenMaiPOS","USER_TABLE","PK_CTPhatSinh_KhuyenMaiPOS","1/1/2023 1:00:36 AM","False","False","False","False","False","31947","1041"
"dbo.Sync","USER_TABLE","PK_Sync","1/1/2023 1:00:36 AM","False","False","False","False","False","72037","843"
"dbo.TichLuyTrongNgay","USER_TABLE","IX_TichLuyTrongNgay","1/1/2023 1:00:35 AM","False","False","False","False","False","3741515","8890"
"dbo.TichLuyTrongNgay","USER_TABLE","PK_TichLuyTrongNgay","1/1/2023 1:00:34 AM","False","False","False","False","False","3741515","72273"
"dbo.INVTSERV17","USER_TABLE","PK_INVTSERV17","1/1/2023 1:00:26 AM","False","False","False","False","False","49904","1039"
"dbo.TichLuy","USER_TABLE","PK__TichLuy__1B7E091A","1/1/2023 1:00:26 AM","False","False","False","False","False","3741515","47613"
"dbo.CTNhanThuong","USER_TABLE","PK__CTNhanThuong__54B68676","1/1/2023 1:00:19 AM","False","False","False","False","False","1559899","33868"
"dbo.Coupon","USER_TABLE","IX_Coupon_MaThe13","1/1/2023 1:00:14 AM","False","False","False","False","False","843972","5901"
"dbo.CTPhatSinh","USER_TABLE","PK__CTPhatSnh__12E8C319","1/1/2023 1:00:08 AM","False","False","False","False","False","1006423","32775"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_DTBan","1/1/2023 1:00:03 AM","False","False","False","False","False","3478257","7324"
"dbo.INVTSERV13","USER_TABLE","PK_INVTSERV13","12/31/2022 12:04:01 PM","False","False","False","False","False","137727","3229"
"dbo.INVTSERV11","USER_TABLE","PK_INVTSERV11","12/31/2022 11:02:01 AM","False","False","False","False","False","107582","2606"
"dbo.INVTSERV16","USER_TABLE","PK_INVTSERV16","12/31/2022 10:44:31 AM","False","False","False","False","False","213474","4887"
"dbo.INVTSERV12","USER_TABLE","PK_INVTSERV12","12/31/2022 10:43:32 AM","False","False","False","False","False","204275","4668"
"dbo.INVTSERV15","USER_TABLE","PK_INVTSERV15","12/31/2022 10:30:01 AM","False","False","False","False","False","232402","5227"
"dbo.INVTSERV14","USER_TABLE","PK_INVTSERV14","12/31/2022 10:28:00 AM","False","False","False","False","False","214232","4884"
"dbo.LichSuThayDoiSieuThi","USER_TABLE","PK_LichSuThayDoiSieuThi","12/31/2022 1:00:11 AM","False","False","False","False","False","74889","1318"
"dbo.INVTSERV10","USER_TABLE","PK_INVTSERV10","12/31/2022 1:00:10 AM","False","False","False","False","False","282666","6261"
