"Database Name","Schema Name","Object Name","Index Name","index_id","index_type_desc","avg_fragmentation_in_percent","fragment_count","page_count","fill_factor","has_filter","filter_definition","allow_page_locks"
"KHTT_ST22","dbo","CTPhatSinh08","PK__CTPhatSinh08","1","CLUSTERED INDEX","99.9967725277563","30984","30984","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh05","PK__CTPhatSinh05","1","CLUSTERED INDEX","99.9963438265511","27351","27351","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh04","PK__CTPhatSinh04","1","CLUSTERED INDEX","99.9961474746697","25957","25957","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh05","IX_CTPhatSinh_MaThe13","2","NONCLUSTERED INDEX","99.9827019546791","5781","5781","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh03","IX_CTPhatSinh_MaThe13","2","NONCLUSTERED INDEX","99.9824191279887","5688","5688","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh02","IX_CTPhatSinh_MaThe13","2","NONCLUSTERED INDEX","99.9754178957719","4068","4068","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh03","PK__CTPhatSinh03","1","CLUSTERED INDEX","99.9628017706357","26883","26883","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh09","PK__CTPhatSinh09","1","CLUSTERED INDEX","91.5888998035364","30051","32576","0","False","","True"
"KHTT_ST22","dbo","The","","0","HEAP","65.7162369813898","3852","46808","0","False","","True"
"KHTT_ST22","dbo","CTPhatSinh02","PK__CTPhatSinh02","1","CLUSTERED INDEX","62.203618968386","12232","19232","0","False","","True"
"KHTT_ST22","dbo","INVTSERV11","PK_INVTSERV11","1","CLUSTERED INDEX","53.0555555555556","1401","2520","0","False","","True"
"KHTT_ST22","dbo","KhachHang","IX_KhachHang_Ten","11","NONCLUSTERED INDEX","52.3330465285591","8495","15109","0","False","","True"
"KHTT_ST22","dbo","Coupon","PK_Coupon","1","CLUSTERED INDEX","51.369242561494","15840","28702","0","False","","True"
"KHTT_ST22","dbo","KhachHang","IX_KhachHang_DTDD","8","NONCLUSTERED INDEX","49.9578572766436","11253","21356","0","False","","True"
"KHTT_ST22","dbo","INVTSERV12","PK_INVTSERV12","1","CLUSTERED INDEX","48.8859764089122","2358","4578","0","False","","True"
"KHTT_ST22","dbo","INVTSERV14","PK_INVTSERV14","1","CLUSTERED INDEX","48.0917622523462","2501","4795","0","False","","True"
