"Database Name","Logical Name","file_id","type_desc","Physical Name","Size on Disk (MB)","num_of_reads","num_of_writes","io_stall_read_ms","io_stall_write_ms","IO Stall Reads Pct","IO Stall Writes Pct","Writes + Reads","MB Read","MB Written","# Reads Pct","# Write Pct","Read Bytes Pct","Written Bytes Pct"
"KHTT_ST","KHTT_ST","1","ROWS","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\KHTT_ST.mdf","76411.88","19173342","422108863","65143651","643853249","9.2","90.8","441282205","15694711.64","4881027.13","4.3","95.7","76.3","23.7"
"KHTT_ST","KHTT_ST_log","2","LOG","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\KHTT_ST_log.ldf","285.06","2151144","189679295","11406713","173837348","6.2","93.8","191830439","2050672.93","1885134.71","1.1","98.9","52.1","47.9"
