"Server Name","Object Name","instance_name","Page Life Expectancy"
"DC-SQL06\DBCF","MSSQL$DBCF:Buffer Node","001                                                                                                                             ","1246809"
"DC-SQL06\DBCF","MSSQL$DBCF:Buffer Node","000                                                                                                                             ","1010350"
