"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","TNDSERV10","9779027","NONE"
"dbo","History_TNDSERV06","9289969","NONE"
"dbo","TNDSERV15","8572761","NONE"
"dbo","History_INVTSERV09","8474999","NONE"
"dbo","History_INVTSERV07","8290495","NONE"
"dbo","History_INVTSERV04","8227909","NONE"
"dbo","TNDSERV16","8149206","NONE"
"dbo","TNDSERV14","7961927","NONE"
"dbo","TNDSERV12","7240689","NONE"
"dbo","History_INVTSERV10","6831792","NONE"
"dbo","History_INVTSERV11","6780462","NONE"
"dbo","History_INVTSERV08","6750427","NONE"
"dbo","History_INVTSERV12","6608005","NONE"
"dbo","History_INVTSERV06","6483614","NONE"
"dbo","History_INVTSERV05","6453783","NONE"
"dbo","History_INVTSERV03","6438092","NONE"
"dbo","CTPhatSinh","6074029","NONE"
"dbo","History_INVTSERV02","5963142","NONE"
"dbo","History_INVTSERV01","5277277","NONE"
"dbo","TNDSERV13","5085971","NONE"
"dbo","TNDSERV11","4576879","NONE"
"dbo","LichSuCapTheTT","4167797","NONE"
"dbo","TichLuy","3693564","NONE"
"dbo","The","3693563","NONE"
"dbo","TichLuyTrongNgay","3693563","NONE"
"dbo","KhachHang","3317508","NONE"
"dbo","ChiThuongCuoiNam_2021","2851398","NONE"
"dbo","TNDSERV17","2778506","NONE"
"dbo","History_TNDSERV07","2607167","NONE"
"dbo","History_TNDSERV08","2511124","NONE"
"dbo","History_TNDSERV10","2483561","NONE"
"dbo","ChiThuongCuoiNam","2482186","NONE"
"dbo","History_TNDSERV12","2455935","NONE"
"dbo","History_TNDSERV01","2054921","NONE"
"dbo","History_TNDSERV11","1982352","NONE"
"dbo","History_TNDSERV09","1794650","NONE"
"dbo","History_TNDSERV05","1446830","NONE"
"dbo","CTNhanThuong","1333883","NONE"
"dbo","CTPhatSinh05","969226","NONE"
"dbo","CTPhatSinh04","965562","NONE"
"dbo","CTPhatSinh03","963090","NONE"
"dbo","STAMPTRX_New_BK_VN052019","947248","NONE"
"dbo","CTPhatSinh06","937533","NONE"
"dbo","STAMPTRX_New_BK_Bf082020","879833","NONE"
"dbo","STAMPTRX_New_BK_Bf130421","870776","NONE"
"dbo","CTPhatSinh02","835420","NONE"
"dbo","Coupon","815338","NONE"
"dbo","CTPhatSinh01","813749","NONE"
