"File Name","Physical Name","Total Size in MB","Available Space In MB","file_id","Filegroup Name","is_percent_growth","growth","is_default","is_read_only"
"ReportServerTempDB","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\ReportServerTempDB.mdf","3.25","0.81","1","PRIMARY","False","128","True","False"
"ReportServerTempDB_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\ReportServerTempDB_log.LDF","3.38","2.65","2","","True","10","",""
