"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","SGC_DocumentDetail","219","NONE"
"dbo","CTQuyenNhomNhanVien","212","NONE"
"dbo","MSreplication_objects","207","NONE"
"dbo","API_Log","193","NONE"
"dbo","INVTSERV_CFTAYNGUYEN_1411","182","NONE"
"dbo","KhuyenMai_SieuThi","174","NONE"
"dbo","KhuyenMai","174","NONE"
"dbo","KhuyenMaiPOS","171","NONE"
"dbo","CTKhuyenMaiPOS","171","NONE"
"dbo","CTNhomQuyen","146","NONE"
"dbo","DSDiemCF_TongHop3","145","NONE"
"dbo","DSDiemCF_TongHop3_DieuChinh","143","NONE"
"dbo","QuocGia","141","NONE"
"dbo","DMQuyen","141","NONE"
"dbo","CTDMQuyen","133","NONE"
"dbo","CauHinhSKU_LoaiDMH","97","NONE"
"dbo","DSDiemCF_TongHop4","73","NONE"
"dbo","LichSuHuyChietKhauPOS","62","NONE"
"dbo","LoaiDongThuongHieu","59","NONE"
"dbo","SGC_ApplicationItem","53","NONE"
"dbo","STAMPTRX_New_CFMTay_210319","52","NONE"
"dbo","SGC_Feedback","51","NONE"
"dbo","QuaTang","47","NONE"
"dbo","Xtra","46","NONE"
"dbo","SieuThi_Group","42","NONE"
"dbo","UpdateList","38","NONE"
"dbo","A_Rebuild","37","NONE"
"dbo","QuanHuyen","35","NONE"
"dbo","TinhTP","35","NONE"
"dbo","MSreplication_subscriptions","25","NONE"
"dbo","MSsubscription_agents","25","NONE"
"dbo","LichSuThayDoiHTX","24","NONE"
"dbo","History_PrintVoucher","23","NONE"
"dbo","LyDo","18","NONE"
"dbo","NhomNhanVien","18","NONE"
"dbo","CauHinhChietKhau","13","NONE"
"dbo","LoaiKhuyenMai","13","NONE"
"dbo","KhuVuc","12","NONE"
"dbo","CHITIET_PS","12","NONE"
"dbo","CustomerList","11","NONE"
"dbo","NhomQuyen","11","NONE"
"dbo","Version","10","NONE"
"dbo","KyTuDinhDang","9","NONE"
"dbo","SGC_Attachment","9","NONE"
"dbo","NgheNghiep","8","NONE"
"dbo","LoaiLyDo","7","NONE"
"dbo","PhieuQRCode","6","NONE"
"dbo","DMLoaiKH","6","NONE"
"dbo","CTPhatQua","4","NONE"
"dbo","DMQuaySUD","4","NONE"
"dbo","DMThuNhap","4","NONE"
"dbo","CapDo","4","NONE"
"dbo","DMNguonDKyKH","4","NONE"
"dbo","TNDSERV0","2","NONE"
"dbo","LoaiQuaTang","2","NONE"
"dbo","NhaCungCap","2","NONE"
"dbo","TransferSync","2","NONE"
"dbo","ConstString1","1","NONE"
"dbo","CAMPGN","1","NONE"
"dbo","ChuongTrinh","1","NONE"
"dbo","CauHinh","1","NONE"
"dbo","HinhThuc","1","NONE"
"dbo","CapDo_HinhThuc","1","NONE"
"dbo","HinhThuc_BK","1","NONE"
"dbo","CauHinhChietKhauPOS","1","NONE"
"dbo","ScriptTable","1","NONE"
"dbo","CauHinh_BK","1","NONE"
"dbo","CauHinhHeThong","1","NONE"
"dbo","CTGuiThongTinKhachHang","0","NONE"
"dbo","TNDSERV26","0","NONE"
"dbo","TNDSERV25","0","NONE"
"dbo","GuiThongTinKhachHang","0","NONE"
"dbo","TNDSERV24","0","NONE"
"dbo","CauHinh_GuiThongTin","0","NONE"
"dbo","TNDSERV23","0","NONE"
"dbo","CauHinhChietKhauQRCode","0","NONE"
"dbo","CTPhatSinh_KhuyenMai12","0","NONE"
"dbo","TNDSERV22","0","NONE"
"dbo","TNDSERV30","0","NONE"
"dbo","CTGuiCamNang","0","NONE"
"dbo","TNDSERV29","0","NONE"
