"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"History_KhachHang","IX_History_KhachHang_MaThe7","3","7813","0","NONCLUSTERED","0","False","","","12/11/2025 3:32:04 PM"
"History_KhachHang","IX_History_KhachHang_CMND","4","7813","0","NONCLUSTERED","0","False","","","12/11/2025 3:32:04 PM"
"History_KhachHang","IX_History_KhachHang_DTBan","5","7813","0","NONCLUSTERED","0","False","","","12/11/2025 3:32:04 PM"
"History_KhachHang","IX_History_KhachHang_DTDD","6","7813","0","NONCLUSTERED","0","False","","","12/11/2025 3:32:04 PM"
"History_KhachHang","IX_History_KhachHang_HoLot","7","7813","0","NONCLUSTERED","0","False","","","12/11/2025 3:32:04 PM"
"History_KhachHang","IX_History_KhachHang_Ten","8","7813","0","NONCLUSTERED","0","False","","","12/11/2025 3:32:04 PM"
"CTTichLuy","PK_CTTichLuy","1","6047","3319","CLUSTERED","0","False","","","12/11/2025 3:59:02 PM"
"CTTichLuy","IX_CTTichLuy_MaThe13","2","6047","3362","NONCLUSTERED","0","False","","","12/11/2025 3:59:02 PM"
"DieuKienKhuyenMaiPOS","PK_DieuKienKhuyenMaiPOS","1","2410","134226720","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"KhuyenMai_SieuThiPOS","PK__KhuyenMai_SieuThi","1","1754","134201790","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"SieuThi","PK__SieuThi__0777106D","1","1208","35715","CLUSTERED","0","False","","","12/11/2025 4:04:38 PM"
"NhanThuong","PK__NhanThuong__66D536B1","1","1064","1172788","CLUSTERED","0","False","","","12/10/2025 12:04:47 PM"
"QuanHuyen","PK__QuanHuyen__4668671F","1","863","8237295","CLUSTERED","0","False","","","9/22/2025 2:09:10 PM"
"NhomNhanVien_DMQuyen","PK__NhomNhanVien_DMQ__4E0988E7","1","794","799","CLUSTERED","0","False","","","10/29/2025 12:04:11 PM"
"CAMPGN","","0","672","338577","HEAP","0","False","","","12/11/2025 1:21:38 AM"
"GiftPromotion_ST","","0","587","1531","HEAP","0","False","","","12/8/2025 11:24:43 AM"
"SKU_Vendor","PK_SKU_Vendor","1","531","4682741","CLUSTERED","0","False","","","9/8/2025 4:03:53 PM"
"CauHinhQuaTang","PK_CauHinhQuaTang","1","526","910","CLUSTERED","0","False","","","12/8/2025 4:04:37 PM"
"TichLuyTrongNgay","IX_TichLuyTrongNgay","2","493","10863","NONCLUSTERED","0","False","","","12/11/2025 6:30:58 AM"
"UpdateList","PK_UpdateList","1","411","39841","CLUSTERED","0","False","","","12/11/2025 1:21:37 AM"
"GiftPromotion_ST","IX_GiftPromotion_Mathe7","2","381","18","NONCLUSTERED","0","False","","","12/8/2025 10:32:24 AM"
"GiftPromotion_ST","IX_GiftPromotion_MaThe13","3","381","168","NONCLUSTERED","0","False","","","12/8/2025 10:32:24 AM"
"GiftPromotion_ST","IX_GiftPromotion_NgayPhat","4","381","103","NONCLUSTERED","0","False","","","12/8/2025 10:32:24 AM"
"GiftPromotion_ST","IX_GiftPromotion_GhiChu","5","381","415","NONCLUSTERED","0","False","","","12/8/2025 10:32:24 AM"
"GiftPromotion_ST","IX_GiftPromotion_MaDot","6","381","320","NONCLUSTERED","0","False","","","12/8/2025 10:32:24 AM"
"MSsavedforeignkeycolumns","ci_MSsavedforeignkeycolumns","1","344","342","CLUSTERED","0","False","","","12/8/2025 10:18:38 AM"
"MSsavedforeignkeycolumns","nci_MSsavedforeignkeycolumns_timestamp","2","344","2","NONCLUSTERED","0","False","","","12/8/2025 10:18:38 AM"
"MSsavedforeignkeys","ci_MSsavedforeignkeys","1","344","684","CLUSTERED","0","False","","","12/8/2025 10:18:38 AM"
"MSsavedforeignkeys","nci_MSsavedforeignkeys_timestamp","2","344","2","NONCLUSTERED","0","False","","","12/8/2025 10:18:38 AM"
"MSsavedforeignkeyextendedproperties","ci_MSsavedforeignkeyextendedproperties","1","342","342","CLUSTERED","0","False","","","12/8/2025 10:18:38 AM"
"MSsavedforeignkeyextendedproperties","nci_MSsavedforeignkeyextendedproperties_timestamp","2","342","0","NONCLUSTERED","0","False","","","12/8/2025 10:18:38 AM"
"INVTSERV9","PK_INVTSERV9","1","290","78757","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV24","PK_INVTSERV24","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV23","PK_INVTSERV23","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV26","PK_INVTSERV26","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV7","PK_INVTSERV7","1","289","78754","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV6","PK_INVTSERV6","1","289","78756","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV27","PK_INVTSERV27","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV5","PK_INVTSERV5","1","289","78755","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV30","PK_INVTSERV30","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV8","PK_INVTSERV8","1","289","78754","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV20","PK_INVTSERV20","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV2","PK_INVTSERV2","1","289","78755","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV21","PK_INVTSERV21","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV1","PK_INVTSERV1_1","1","289","78764","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV18","PK_INVTSERV18","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV25","PK_INVTSERV25","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV28","PK_INVTSERV28","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV22","PK_INVTSERV22","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV19","PK_INVTSERV19_1","1","289","78739","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
"INVTSERV3","PK_INVTSERV3","1","289","78761","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV4","PK_INVTSERV4","1","289","78756","CLUSTERED","0","False","","","12/11/2025 5:00:00 AM"
"INVTSERV29","PK_INVTSERV29","1","289","78740","CLUSTERED","0","False","","","12/11/2025 5:00:01 AM"
