"session_id","Database Name","login_time","cpu_time","logical_reads","status","Input Buffer"
"69","KHTT_ST","12/11/2025 10:30:25 AM","297","83557","sleeping","SELECT TOP 10 *  FROM 
                                            ((SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh01 cs WHERE MaThe13 = '9364178635800')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh02 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh03 cs WHERE MaThe13 = '9364178635800')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh04 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh05 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh06 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh07 cs WHERE MaThe13 = '9364178635800')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh08 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh09 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh10 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh11 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13',
                                                    cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh cs WHERE MaThe13 = '9364178635800')) a
                                              order by a.NgayHD desc"
"70","KHTT_ST","12/11/2025 4:20:42 PM","0","0","sleeping",""
"71","KHTT_ST","12/11/2025 3:21:30 PM","16","62","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.DTDD = '0963895171' OR kh.DTBan = '0963895171') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
"73","KHTT_ST","12/11/2025 3:00:00 PM","0","0","sleeping",""
"74","KHTT_ST","12/11/2025 3:19:33 PM","282","82732","sleeping","SELECT TOP 10 *  FROM 
                                            ((SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh01 cs WHERE MaThe13 = '4862000805131')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh02 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh03 cs WHERE MaThe13 = '4862000805131')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh04 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh05 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh06 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh07 cs WHERE MaThe13 = '4862000805131')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh08 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh09 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh10 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh11 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13',
                                                    cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh cs WHERE MaThe13 = '4862000805131')) a
                                              order by a.NgayHD desc"
"75","KHTT_ST","12/11/2025 7:17:38 AM","0","21","sleeping","select * from campgn where getdate() between startdate and enddate and inclusive='Y'"
"76","KHTT_ST","12/11/2025 3:03:09 PM","0","30","sleeping",""
"77","KHTT_ST","12/11/2025 8:35:43 AM","15840","78634","sleeping","set dateformat ymd SELECT * FROM KhachHang  WHERE MATHE13 = N'5327433672648'"
"78","KHTT_ST","12/4/2025 7:54:22 AM","0","0","sleeping",""
"81","KHTT_ST","12/11/2025 4:06:17 PM","14580","79255","sleeping","set dateformat ymd SELECT * FROM KhachHang  WHERE MATHE13 = N'6602532397531'"
