"File Name","Physical Name","Total Size in MB","Available Space In MB","file_id","Filegroup Name","is_percent_growth","growth","is_default","is_read_only"
"SDI_CFNQ","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\SDI_CFNQ.mdf","184.00","58.31","1","PRIMARY","False","128","True","False"
"SDI_CFNQ_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\SDI_CFNQ_log.ldf","1.00","0.63","2","","True","10","",""
