"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact","Table Name","Table Rows"
"471.76","12/11/2025 3:49:09 PM","[KHTT_ST].[dbo].[INVTSERV15]","4","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","12","336","2.52","55.64","INVTSERV15","133338"
"446.77","12/11/2025 3:50:23 PM","[KHTT_ST].[dbo].[INVTSERV16]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","7","337","2.14","61.92","INVTSERV16","120253"
"438.28","12/11/2025 3:49:11 PM","[KHTT_ST].[dbo].[INVTSERV16]","4","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","14","336","2.46","52.93","INVTSERV16","120253"
"424.22","12/11/2025 3:50:22 PM","[KHTT_ST].[dbo].[INVTSERV11]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","6","336","2.17","58.19","INVTSERV11","72091"
"423.35","12/11/2025 3:50:29 PM","[KHTT_ST].[dbo].[INVTSERV11]","4","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","11","337","1.97","63.7","INVTSERV11","72091"
"420.88","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen], [NgayVanChuyen]","","[ID]","4","7","60.52","99.35","CTPhatSinh","328254"
"419.26","12/11/2025 3:00:01 PM","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen], [NgayVanChuyen]","","[ID], [MaThe13], [MaHD], [SoHD], [MaDotKhuyenMai], [MaST], [NgayHD], [MaQuay], [TongTienHD], [DiemTichLuy], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [DoiCapDo], [DichVu], [LyDo], [MaLyDo], [MaNVNhap], [NgayNhap], [NVCash], [IDBiButToan]","4","7","60.18","99.53","CTPhatSinh","328254"
"403.22","12/11/2025 2:49:29 PM","[KHTT_ST].[dbo].[KhachHang]","3","1","[Passport]","[MaThe13]","[MaThe7], [MaNVCap], [MaNVCapNhat], [NgayCapNhat], [HoLot], [Ten], [NgaySinh], [GioiTinh], [CMND], [MaSoThue], [MaQuocGia], [SoNha], [TenDuong], [MaPhuongXa], [MaQuanHuyen], [MaTinhTP], [DTDD], [DTBan], [Email], [LaDoanhNghiep], [MaNgheNghiep], [CoNhanChuyenKhoan], [SoTaiKhoan], [NganHang], [DVThuHuong], [NhanQCQuaEmail], [NhanQCQuaSMS], [NhanToRoiQCQuaDiaChi], [GhiChu], [MaST], [DacCach], [MaLyDoDacCach], [LyDoDacCach], [F1], [F2], [F3], [F4], [F5], [MaThuNhap], [MaLoaiKH], [MaNguonDKyKH], [TTHonNhan], [SoCon], [LaTVHTX], [NgayDangKyThamGiaHTX], [MaHTX], [SoVonGopBanDau]","3","4","105.33","95.7","KhachHang","2757344"
"381.80","12/11/2025 3:00:01 PM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMaiPOS]","1","1","[NgayVanChuyen], [DaVanChuyen]","","","44","92","4.16","99.7","CTPhatSinh_KhuyenMaiPOS","136644"
"369.49","12/11/2025 3:50:23 PM","[KHTT_ST].[dbo].[INVTSERV17]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","6","337","1.80","60.8","INVTSERV17","105393"
"363.60","12/11/2025 3:49:14 PM","[KHTT_ST].[dbo].[INVTSERV17]","4","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","13","336","2.04","53.04","INVTSERV17","105393"
"346.61","12/11/2025 3:50:22 PM","[KHTT_ST].[dbo].[INVTSERV13]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","6","336","1.72","59.94","INVTSERV13","57724"
"345.93","12/11/2025 3:49:04 PM","[KHTT_ST].[dbo].[INVTSERV13]","3","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","9","336","1.59","64.74","INVTSERV13","57724"
"313.09","5/16/2025 9:13:49 AM","[KHTT_ST].[dbo].[History_INVTSERV04]","1","1","[TX_NO], [DATE]","","[TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [STORE], [TXDATE]","1","1","313.91","99.74","History_INVTSERV04","19334938"
"209.53","12/11/2025 3:50:37 AM","[KHTT_ST].[dbo].[KhachHang]","3","1","[MaTinhTP]","","[MaThe13], [MaThe7]","2","2","105.07","99.71","KhachHang","2757344"
"119.77","12/8/2025 10:32:11 AM","[KHTT_ST].[dbo].[CTQuyenNhanVien]","2","1","[MaQuyen], [TenControl]","","[MaNV], [Enable], [Visible], [TenHienThi]","72","178","0.84","80.42","CTQuyenNhanVien","57133"
