"File Name","Physical Name","Total Size in MB","Available Space In MB","file_id","Filegroup Name","is_percent_growth","growth","is_default","is_read_only"
"SGCReport_2016_2021","E:\DBCRM2017\SGCReport_2016_2021.mdf","36502.00","37.63","1","PRIMARY","False","128","True","False"
"SGCReport_2016_2021_log","E:\DBCRM2017\SGCReport_2016_2021_log.ldf","1.00","0.62","2","","True","10","",""
