"table_name","index_name","index_id","partition_number","total_row_lock_waits","total_row_lock_wait_in_ms","total_page_lock_waits","total_page_lock_wait_in_ms","total_lock_wait_in_ms"
"TichLuyTrongNgay","PK_TichLuyTrongNgay","1","1","92","1001127","56","1422726","2423853"
"KhachHang","PK__KhachHang__095F58DF","1","1","1","460485","1","816969","1277454"
"INVTSERV13","PK_INVTSERV13","1","1","0","0","1","188","188"
"KhachHang","IX_KhachHang_DTBan","4","1","0","0","2","78","78"
"CTPhatSinh_KhuyenMaiPOS","PK_CTPhatSinh_KhuyenMaiPOS","1","1","0","0","1","16","16"
"INVTSERV16","PK_INVTSERV16","1","1","0","0","1","16","16"
"TNDSERV12","PK_TNDSERV12","1","1","1","16","0","0","16"
"KhachHang","IX_KhachHang_MaThe13","2","1","0","0","1","15","15"
