"Database Name","Logical Name","file_id","type_desc","Physical Name","Size on Disk (MB)","num_of_reads","num_of_writes","io_stall_read_ms","io_stall_write_ms","IO Stall Reads Pct","IO Stall Writes Pct","Writes + Reads","MB Read","MB Written","# Reads Pct","# Write Pct","Read Bytes Pct","Written Bytes Pct"
"ReportServerTempDB","ReportServerTempDB","1","ROWS","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\ReportServerTempDB.mdf","3.25","238","1","223","0","100.0","0.0","239","7.35","0.01","99.6","0.4","99.9","0.1"
"ReportServerTempDB","ReportServerTempDB_log","2","LOG","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\ReportServerTempDB_log.LDF","3.38","16","6","8","2","80.0","20.0","22","0.45","0.01","72.7","27.3","97.8","2.2"
