"Object Name","object_id","type_desc","Statistics Name","stats_id","no_recompute","auto_created","is_incremental","is_temporary","modification_counter","rows","rows_sampled","last_updated"
"TNDSERV1","9155178","USER_TABLE","_WA_Sys_00000009_008BB26A","8","False","True","False","False","1630535","35743","35743","1/12/2021 7:08:58 AM"
"TNDSERV15","457156774","USER_TABLE","_WA_Sys_0000000E_1B3FA8A6","2","False","True","False","False","1548871","15146052","211077","11/15/2024 7:55:39 AM"
"TNDSERV12","361156432","USER_TABLE","_WA_Sys_0000000E_1586CF50","2","False","True","False","False","1544013","10948157","182815","10/19/2024 10:53:01 AM"
"TNDSERV20","617157344","USER_TABLE","_WA_Sys_00000008_24C912E0","6","False","True","False","False","1525691","52034","52034","6/3/2019 11:17:35 AM"
"TNDSERV13","393156546","USER_TABLE","_WA_Sys_00000011_176F17C2","12","False","True","False","False","1515392","7307112","162891","10/2/2024 11:40:06 PM"
"TNDSERV28","873158256","USER_TABLE","_WA_Sys_00000008_340B5670","6","False","True","False","False","1512811","29105","29105","6/3/2019 11:17:36 AM"
"TNDSERV13","393156546","USER_TABLE","_WA_Sys_0000000A_176F17C2","9","False","True","False","False","1456733","7292003","163093","10/3/2024 7:34:02 PM"
"TNDSERV7","201155862","USER_TABLE","_WA_Sys_00000008_0BFD6516","6","False","True","False","False","1453452","64938","64938","6/3/2019 11:17:33 AM"
"TNDSERV11","329156318","USER_TABLE","_WA_Sys_0000000A_139E86DE","9","False","True","False","False","1413781","7220489","164106","10/3/2024 7:32:02 PM"
"TNDSERV13","393156546","USER_TABLE","_WA_Sys_0000000F_176F17C2","7","False","True","False","False","1393248","7458349","161606","10/26/2024 9:57:33 AM"
"TNDSERV11","329156318","USER_TABLE","_WA_Sys_0000000F_139E86DE","7","False","True","False","False","1310503","7410762","165479","10/24/2024 11:30:26 PM"
"TNDSERV3","73155406","USER_TABLE","_WA_Sys_00000009_045C434E","8","False","True","False","False","1278280","20672","20672","1/11/2021 9:16:51 PM"
"KhachHang","33591358","USER_TABLE","_WA_Sys_00000009_0200903E","14","False","True","False","False","1266527","3166237","77555","10/12/2024 1:22:06 PM"
"CTPhatSinh_KhuyenMaiPOS","1943677972","USER_TABLE","PK_CTPhatSinh_KhuyenMaiPOS","1","False","False","False","False","1237655","53536","53536","12/31/2024 1:01:02 AM"
"TNDSERV15","457156774","USER_TABLE","_WA_Sys_00000003_1B3FA8A6","11","False","True","False","False","1188360","15393847","210649","11/27/2024 11:40:12 PM"
"TNDSERV27","841158142","USER_TABLE","_WA_Sys_00000008_32230DFE","6","False","True","False","False","1146658","46990","46990","6/3/2019 11:17:36 AM"
"TNDSERV11","329156318","USER_TABLE","_WA_Sys_00000005_139E86DE","3","False","True","False","False","1133249","7390185","165554","10/21/2024 4:14:46 PM"
"TNDSERV11","329156318","USER_TABLE","_WA_Sys_00000004_139E86DE","4","False","True","False","False","1133249","7390185","165554","10/21/2024 4:14:46 PM"
"TNDSERV11","329156318","USER_TABLE","_WA_Sys_00000002_139E86DE","5","False","True","False","False","1133249","7390185","165554","10/21/2024 4:14:46 PM"
"TNDSERV11","329156318","USER_TABLE","_WA_Sys_00000006_139E86DE","10","False","True","False","False","1133249","7390185","165554","10/21/2024 4:21:10 PM"
"TNDSERV17","521157002","USER_TABLE","_WA_Sys_00000011_1F10398A","12","False","True","False","False","1110574","5413578","146210","10/23/2024 11:40:14 PM"
"TNDSERV10","297156204","USER_TABLE","_WA_Sys_0000000F_11B63E6C","7","False","True","False","False","1051249","15446341","215762","12/6/2024 1:04:48 PM"
"TNDSERV22","681157572","USER_TABLE","_WA_Sys_00000008_2899A3C4","6","False","True","False","False","1005192","28962","28962","6/3/2019 11:17:35 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_00000002_0AF29B96","7","False","True","False","False","981332","7771948","110054","12/11/2024 6:59:25 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_00000006_0AF29B96","5","False","True","False","False","980603","7772688","109915","12/11/2024 8:00:30 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_00000004_0AF29B96","6","False","True","False","False","980592","7772688","109915","12/11/2024 8:00:30 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_00000008_0AF29B96","4","False","True","False","False","980592","7772688","109915","12/11/2024 8:00:29 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_00000007_0AF29B96","8","False","True","False","False","977852","7775428","109970","12/11/2024 8:10:11 AM"
"CTPhatSinh","183671702","USER_TABLE","_WA_Sys_00000013_0AF29B96","13","False","True","False","False","977852","7775428","109970","12/11/2024 8:10:11 AM"
