"Database Name","Logical Name","file_id","type_desc","Physical Name","Size on Disk (MB)","num_of_reads","num_of_writes","io_stall_read_ms","io_stall_write_ms","IO Stall Reads Pct","IO Stall Writes Pct","Writes + Reads","MB Read","MB Written","# Reads Pct","# Write Pct","Read Bytes Pct","Written Bytes Pct"
"ReportServer","ReportServer","1","ROWS","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\ReportServer.mdf","4.25","389","1","387","0","100.0","0.0","390","11.13","0.01","99.7","0.3","99.9","0.1"
"ReportServer","ReportServer_log","2","LOG","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\ReportServer_log.LDF","6.13","25","5","12","2","85.7","14.3","30","0.55","0.01","83.3","16.7","98.3","1.7"
