"Object Name","object_id","type_desc","Statistics Name","stats_id","no_recompute","auto_created","is_incremental","is_temporary","modification_counter","rows","rows_sampled","last_updated"
"INVMST","437576597","USER_TABLE","_WA_Sys_0000000F_1A14E395","5","False","True","False","False","482319269","426732","87501","8/29/2016 11:39:47 AM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000002_1A14E395","3","False","True","False","False","326390285","426680","87250","8/27/2016 10:04:28 AM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000004_1A14E395","7","False","True","False","False","326390279","426680","87250","8/27/2016 10:18:58 AM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000007_1A14E395","14","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:20 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000006_1A14E395","15","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:21 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000005_1A14E395","16","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:21 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_0000000E_1A14E395","9","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:19 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_0000000D_1A14E395","10","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:19 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_0000000C_1A14E395","11","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:20 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000009_1A14E395","12","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:20 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000008_1A14E395","13","False","True","False","False","326390279","426680","87250","8/27/2016 3:02:20 PM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000003_1A14E395","8","False","True","False","False","322123107","426732","87501","8/29/2016 10:50:49 AM"
"INVMST","437576597","USER_TABLE","_WA_Sys_0000000A_1A14E395","2","False","True","False","False","322123107","426732","87501","8/29/2016 10:50:48 AM"
"INVMST","437576597","USER_TABLE","_WA_Sys_0000000B_1A14E395","4","False","True","False","False","321269597","426778","85140","8/30/2016 8:38:02 AM"
"INVMST","437576597","USER_TABLE","_WA_Sys_00000001_1A14E395","6","False","True","False","False","320415906","426913","84637","8/31/2016 9:23:42 AM"
"INVEVT","629577281","USER_TABLE","_WA_Sys_00000001_25869641","19","False","True","False","False","59333157","334","334","8/30/2016 11:20:40 AM"
"INVDPT","2137058649","USER_TABLE","_WA_Sys_00000004_7F60ED59","2","False","True","False","False","7729269","10229","10229","8/25/2016 10:26:59 AM"
"INVDPT","2137058649","USER_TABLE","_WA_Sys_00000003_7F60ED59","3","False","True","False","False","7729269","10229","10229","8/25/2016 10:26:59 AM"
"INVDPT","2137058649","USER_TABLE","_WA_Sys_00000002_7F60ED59","4","False","True","False","False","7729269","10229","10229","8/25/2016 10:26:59 AM"
