"SQL Server Process CPU Utilization","System Idle Process","Other Process CPU Utilization","Event Time"
"3","92","5","12/11/2025 1:04:21 PM"
"3","92","5","12/11/2025 1:03:20 PM"
"3","92","5","12/11/2025 1:02:20 PM"
"4","92","4","12/11/2025 1:01:20 PM"
"3","92","5","12/11/2025 1:00:20 PM"
"2","93","5","12/11/2025 12:59:20 PM"
"3","92","5","12/11/2025 12:58:20 PM"
"4","92","4","12/11/2025 12:57:19 PM"
"1","93","6","12/11/2025 12:56:19 PM"
"3","92","5","12/11/2025 12:55:19 PM"
"4","92","4","12/11/2025 12:54:19 PM"
"3","92","5","12/11/2025 12:53:19 PM"
"2","93","5","12/11/2025 12:52:18 PM"
"4","92","4","12/11/2025 12:51:18 PM"
"3","92","5","12/11/2025 12:50:18 PM"
"1","93","6","12/11/2025 12:49:18 PM"
"4","92","4","12/11/2025 12:48:18 PM"
"3","92","5","12/11/2025 12:47:18 PM"
"2","93","5","12/11/2025 12:46:17 PM"
"1","93","6","12/11/2025 12:45:17 PM"
"3","92","5","12/11/2025 12:44:17 PM"
"3","92","5","12/11/2025 12:43:17 PM"
"2","93","5","12/11/2025 12:42:17 PM"
"3","92","5","12/11/2025 12:41:16 PM"
"4","92","4","12/11/2025 12:40:16 PM"
"2","93","5","12/11/2025 12:39:16 PM"
"3","92","5","12/11/2025 12:38:16 PM"
"3","92","5","12/11/2025 12:37:16 PM"
"3","93","4","12/11/2025 12:36:16 PM"
"1","94","5","12/11/2025 12:35:15 PM"
"4","91","5","12/11/2025 12:34:15 PM"
"4","91","5","12/11/2025 12:33:15 PM"
"2","93","5","12/11/2025 12:32:15 PM"
"3","92","5","12/11/2025 12:31:15 PM"
"4","92","4","12/11/2025 12:30:14 PM"
"3","92","5","12/11/2025 12:29:14 PM"
"2","93","5","12/11/2025 12:28:14 PM"
"4","91","5","12/11/2025 12:27:14 PM"
"4","92","4","12/11/2025 12:26:14 PM"
"2","92","6","12/11/2025 12:25:14 PM"
"2","93","5","12/11/2025 12:24:13 PM"
"4","92","4","12/11/2025 12:23:13 PM"
"4","92","4","12/11/2025 12:22:13 PM"
"3","92","5","12/11/2025 12:21:13 PM"
"4","92","4","12/11/2025 12:20:13 PM"
"4","92","4","12/11/2025 12:19:12 PM"
"3","93","4","12/11/2025 12:18:12 PM"
"3","92","5","12/11/2025 12:17:12 PM"
"2","92","6","12/11/2025 12:16:12 PM"
"2","93","5","12/11/2025 12:15:12 PM"
"3","92","5","12/11/2025 12:14:12 PM"
"5","91","4","12/11/2025 12:13:11 PM"
"4","92","4","12/11/2025 12:12:11 PM"
