"File Name","Physical Name","Total Size in MB","Available Space In MB","file_id","Filegroup Name","is_percent_growth","growth","is_default","is_read_only"
"ReportServer","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\ReportServer.mdf","4.25","0.31","1","PRIMARY","False","128","True","False"
"ReportServer_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\ReportServer_log.LDF","6.13","5.22","2","","True","10","",""
