"File Name","Physical Name","Total Size in MB","Available Space In MB","file_id","Filegroup Name","is_percent_growth","growth","is_default","is_read_only"
"AccessConfig","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\AccessConfig.mdf","6.00","3.19","1","PRIMARY","False","128","True","False"
"AccessConfig_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\AccessConfig_log.ldf","6.75","6.18","2","","True","10","",""
