"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact"
"1.50","2025-09-09 10:28:51","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","6","[MaTinhTP_GM]","","[TenPhuongXa_GM], [TenQuanHuyen_GM], [TenTP_GM]","4","4","0.48","78.6"
"1.42","2025-12-11 05:00:01","[KHTT_ST].[dbo].[INVTSERV16]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.73","82.18"
"1.36","2025-10-02 15:24:56","[KHTT_ST_TEST].[dbo].[INVTSERV11]","1","1","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [NGAYLAY]","1","1","2.19","62.17"
"1.30","2025-09-09 11:04:58","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","6","[MaTinhTP_GM]","","[TenQuanHuyen_GM]","3","3","0.72","60.35"
"1.28","2025-12-11 05:00:01","[KHTT_ST].[dbo].[INVTSERV17]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.56","82.19"
"1.28","2025-12-11 05:00:01","[KHTT_ST].[dbo].[INVTSERV12]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.99","64.14"
"1.25","2025-12-11 05:00:01","[KHTT_ST].[dbo].[INVTSERV14]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.91","65.05"
"1.16","2025-09-09 11:16:04","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","1","[TenPhuongXa_GM]","","","5","5","0.34","68.04"
"1.06","2025-09-10 11:26:31","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","2","[MaQuanHuyen_GM]","","[STT], [TenPhuongXa_GM], [TenQuanHuyen_GM], [TenTP_GM], [TinhThanhPho_DC], [MaDiaChinh_TinhThanhPho_DC], [PhuongXa_DacKhu_DC], [MaDiaChinh_PhuongXa_DacKhu_DC], [MaTinhTP_GM], [MaPhuongXa_GM]","2","2","0.83","63.82"
"1.03","2025-09-10 14:20:27","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","2","[MaTinhTP_GM], [MaQuanHuyen_GM]","","[STT], [TenPhuongXa_GM], [TenQuanHuyen_GM], [TenTP_GM], [TinhThanhPho_DC], [MaDiaChinh_TinhThanhPho_DC], [PhuongXa_DacKhu_DC], [MaDiaChinh_PhuongXa_DacKhu_DC], [MaPhuongXa_GM]","3","3","0.82","42.16"
"0.88","2025-12-11 05:00:00","[KHTT_ST].[dbo].[INVTSERV11]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.35","64.84"
"0.85","2025-08-26 14:28:19","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","2","[MaQuanHuyenGOLDMEM]","","[TenGOLDMEM], [TEN_PHUONGXA c?], [TenPhuongXaMoi], [MaPhuongXa_GM], [TenQuanHuyenGM], [TenPhuongXaChuanHoa], [TenQuanHuyenChuanHoa], [TenPhuongXaDieuChinhTam]","1","1","1.07","79.93"
"0.78","2025-09-10 14:31:20","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","2","[MaDiaChinh_TinhThanhPho_DC]","","[STT], [TenPhuongXa_GM], [TenQuanHuyen_GM], [TenTP_GM], [TinhThanhPho_DC], [PhuongXa_DacKhu_DC], [MaDiaChinh_PhuongXa_DacKhu_DC], [MaTinhTP_GM], [MaQuanHuyen_GM], [MaPhuongXa_GM]","2","2","0.75","52.07"
"0.73","2025-12-11 05:00:01","[KHTT_ST].[dbo].[INVTSERV13]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.15","63.32"
"0.73","2025-07-07 11:09:16","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai03]","1","1","[CTPhatSinhID]","","","2","2","2.90","12.59"
"0.72","2025-09-10 15:20:36","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","2","[MaDiaChinh_TinhThanhPho_DC]","","[TinhThanhPho_DC]","3","3","0.27","90.28"
"0.69","2025-08-26 16:01:10","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","1","[TenPhuongXaDieuChinhTam]","","","1","1","0.76","90.62"
"0.69","2025-09-10 15:48:21","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","6","[MaTinhTP_GM]","","[MaDiaChinh_TinhThanhPho_DC], [PhuongXa_DacKhu_DC], [MaDiaChinh_PhuongXa_DacKhu_DC]","2","2","1.10","31.46"
"0.35","2025-09-10 14:24:39","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","2","[MaTinhTP_GM], [MaQuanHuyen_GM]","","[TenPhuongXa_GM]","1","1","1.85","18.79"
"0.35","2025-09-10 15:47:06","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","6","[MaTinhTP_GM]","","[MaDiaChinh_TinhThanhPho_DC], [PhuongXa_DacKhu_DC]","1","1","1.10","31.47"
"0.35","2025-09-10 14:24:39","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","2","[MaQuanHuyen_GM]","","[TenPhuongXa_GM]","1","1","1.85","18.92"
"0.27","2025-07-24 14:23:39","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","1","[TX_NO], [CUSTNUM]","","","2","3","0.23","38.28"
"0.21","2025-09-09 10:21:46","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","1","[TenQuanHuyen_GM]","","","1","1","0.26","79.9"
"0.12","2025-07-24 14:23:39","[KHTT_ST_TEST].[dbo].[INVTSERV10]","3","1","[TX_NO], [CUSTNUM]","","","1","2","0.33","18.49"
"0.08","2025-07-24 14:23:43","[KHTT_ST_TEST].[dbo].[INVTSERV10]","3","1","[TX_NO]","","[DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [DALAY_DT], [STORE], [TXDATE], [NGAYLAY]","2","2","0.33","12.79"
"0.06","2025-07-24 14:23:39","[KHTT_ST_TEST].[dbo].[INVTSERV14]","2","1","[TX_NO], [CUSTNUM]","","","1","2","0.33","9.06"
"0.06","2025-07-24 14:23:39","[KHTT_ST_TEST].[dbo].[INVTSERV15]","2","1","[TX_NO], [CUSTNUM]","","","1","2","0.33","8.99"
"0.05","2025-07-24 14:23:43","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","1","[TX_NO]","","[DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [DALAY_DT], [STORE], [TXDATE], [NGAYLAY]","2","2","0.33","7.88"
"0.04","2025-07-24 14:23:43","[KHTT_ST_TEST].[dbo].[INVTSERV15]","2","1","[TX_NO]","","[DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [DALAY_DT], [STORE], [TXDATE], [NGAYLAY]","2","2","0.33","5.67"
"0.03","2025-07-24 14:23:43","[KHTT_ST_TEST].[dbo].[INVTSERV14]","2","1","[TX_NO]","","[DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [DALAY_DT], [STORE], [TXDATE], [NGAYLAY]","2","2","0.33","5.31"
