"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact"
"146.52","2025-11-05 15:11:49","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","2","[CUSTNUM]","","[AMOUNT]","1","1","146.55","99.98"
"143.82","2025-07-24 14:02:34","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","9","[TENDER_CODE]","","","1","1","944.96","15.22"
"135.10","2025-11-10 10:39:02","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","9","[TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [SEQNUM], [STORE]","1","1","296.87","45.51"
"129.05","2025-07-24 13:36:07","[KHTT_ST_TEST].[dbo].[TNDSERV15]","5","2","[TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","13.65"
"128.86","2025-07-25 09:29:26","[KHTT_ST_TEST].[dbo].[TNDSERV15]","5","1","[BANKCODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","13.63"
"125.68","2025-07-24 14:02:34","[KHTT_ST_TEST].[dbo].[TNDSERV12]","5","2","[TENDER_CODE]","","","1","1","944.96","13.3"
"123.28","2025-07-25 09:29:26","[KHTT_ST_TEST].[dbo].[TNDSERV10]","5","1","[BANKCODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","13.04"
"121.05","2025-07-24 14:02:34","[KHTT_ST_TEST].[dbo].[TNDSERV14]","5","2","[TENDER_CODE]","","","1","1","944.96","12.81"
"119.77","2025-12-08 10:32:11","[KHTT_ST].[dbo].[CTQuyenNhanVien]","2","1","[MaQuyen], [TenControl]","","[MaNV], [Enable], [Visible], [TenHienThi]","72","178","0.84","80.42"
"115.76","2025-12-08 10:32:11","[KHTT_ST].[dbo].[CTQuyenNhanVien]","2","1","[TenControl]","","[MaNV], [MaQuyen], [Enable], [Visible], [TenHienThi]","72","178","0.84","77.73"
"113.99","2025-08-20 09:55:00","[SGCReport].[dbo].[MonthlySelling_Report072025]","3","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [STDK]","1","2","57.11","99.8"
"107.64","2025-04-14 11:01:20","[SGCReport].[dbo].[MonthlySelling_Report032025]","3","3","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","2","2","53.89","99.88"
"105.51","2025-07-24 13:36:07","[KHTT_ST_TEST].[dbo].[TNDSERV12]","5","2","[TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","11.16"
"103.30","2025-05-06 10:19:02","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","2","2","51.76","99.78"
"102.10","2025-07-25 09:29:26","[KHTT_ST_TEST].[dbo].[TNDSERV12]","5","1","[BANKCODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","10.8"
"101.98","2025-12-11 03:50:37","[KHTT_ST].[dbo].[KhachHang]","3","1","","[MaTinhTP]","[MaThe13], [MaThe7]","1","1","105.67","96.51"
"98.89","2025-07-25 09:29:26","[KHTT_ST_TEST].[dbo].[TNDSERV14]","5","1","[BANKCODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","10.46"
"98.74","2025-05-21 14:17:59","[SGCReport].[dbo].[MonthlySelling_Report012025]","1","1","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","2","2","49.44","99.87"
"95.49","2025-07-24 13:36:07","[KHTT_ST_TEST].[dbo].[TNDSERV14]","5","2","[TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","1","1","945.42","10.1"
"79.87","2025-12-11 15:10:00","[KHTT_ST].[dbo].[INVTSERV15]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","46","5.93","29.26"
"73.66","2025-12-11 15:12:01","[KHTT_ST].[dbo].[INVTSERV16]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","46","5.76","27.82"
"69.67","2025-12-11 15:12:01","[KHTT_ST].[dbo].[INVTSERV11]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","47","5.48","27.07"
"65.66","2025-12-01 05:00:32","[SGCReport].[dbo].[MonthlySelling_Report112025]","1","1","[ID]","","","1","1","318.11","20.64"
"65.03","2025-11-01 05:00:28","[SGCReport].[dbo].[MonthlySelling_Report102025]","1","1","[ID]","","","1","1","353.40","18.4"
"63.39","2025-12-11 15:12:01","[KHTT_ST].[dbo].[INVTSERV17]","4","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","46","5.49","25.12"
"63.18","2025-10-01 05:00:31","[SGCReport].[dbo].[MonthlySelling_Report092025]","2","1","[ID]","","","1","1","390.74","16.17"
"62.22","2025-10-13 10:07:03","[SGCReport].[dbo].[MonthlySelling_Report092025]","2","1","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo]","1","1","62.34","99.82"
"60.17","2025-12-11 09:46:38","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","1","1","60.21","99.93"
"59.87","2025-12-11 09:02:29","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen]","[NgayHD]","","1","1","60.18","99.49"
"58.86","2025-09-01 05:00:29","[SGCReport].[dbo].[MonthlySelling_Report082025]","1","1","[ID]","","","1","1","348.30","16.9"
"57.99","2025-08-01 05:00:33","[SGCReport].[dbo].[MonthlySelling_Report072025]","3","1","[ID]","","","1","1","401.60","14.44"
"56.98","2025-08-20 09:54:46","[SGCReport].[dbo].[MonthlySelling_Report072025]","3","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [TenQuanHuyen], [TenTP]","1","1","57.11","99.77"
"56.74","2025-08-01 09:49:24","[KHTT_ST24].[dbo].[TichLuy]","1","1","","[DoanhSo]","[MaThe13]","1","1","206.49","27.48"
"55.31","2025-11-10 14:53:01","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","3","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","4","20","4.12","67.06"
"54.88","2025-07-01 05:00:24","[SGCReport].[dbo].[MonthlySelling_Report062025]","1","1","[ID]","","","1","1","341.09","16.09"
"54.73","2025-06-01 05:00:27","[SGCReport].[dbo].[MonthlySelling_Report052025]","1","1","[ID]","","","1","1","319.30","17.14"
"53.82","2025-04-23 09:52:16","[SGCReport].[dbo].[MonthlySelling_Report032025]","3","3","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [STDK]","1","1","53.89","99.88"
"53.81","2025-04-23 09:42:05","[SGCReport].[dbo].[MonthlySelling_Report032025]","3","3","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [TenQuanHuyen], [TenTP]","1","1","53.89","99.86"
"52.53","2025-05-01 05:00:26","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","1","[ID]","","","1","1","367.10","14.31"
"52.42","2025-12-11 15:10:04","[KHTT_ST].[dbo].[TNDSERV10]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","47","4.95","22.53"
"51.64","2025-05-06 10:19:28","[SGCReport].[dbo].[MonthlySelling_Report042025]","4","2","[STPS]","","[MaThe13], [TongTienHD], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [MaCapDo], [TenQuanHuyen], [TenTP]","1","1","51.77","99.75"
