"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.TNDSERV13","USER_TABLE","PK_TNDSERV13","11/25/2023 5:30:15 PM","False","False","False","False","False","5085971","69421"
"dbo.LichSuThayDoiSieuThi","USER_TABLE","PK_LichSuThayDoiSieuThi","11/25/2023 1:00:13 AM","False","False","False","False","False","88784","1487"
"dbo.DMQuyen","USER_TABLE","PK__DMQuyen__4A38F803","11/23/2023 1:00:30 AM","False","False","False","False","False","136","4"
"dbo.The","USER_TABLE","IX_The_MaThe7","11/21/2023 2:43:38 PM","False","False","False","False","False","3693563","15462"
"dbo.TNDSERV10","USER_TABLE","PK_TNDSERV10","11/16/2023 11:54:43 AM","False","False","False","False","False","9779027","133008"
"dbo.History_KhachHang","USER_TABLE","IX_History_KhachHang_Ten","11/15/2023 1:00:25 AM","False","False","False","False","False","23239","201"
"dbo.KhachHang","USER_TABLE","PK__KhachHang__095F58DF","11/11/2023 1:00:16 AM","False","False","False","False","False","3317508","173239"
"dbo.TNDSERV15","USER_TABLE","PK_TNDSERV15","11/8/2023 1:00:31 AM","False","False","False","False","False","8572761","108134"
"dbo.TNDSERV14","USER_TABLE","PK_TNDSERV14","11/7/2023 11:30:09 PM","False","False","False","False","False","7961927","103307"
"dbo.TNDSERV16","USER_TABLE","PK_TNDSERV16","11/7/2023 8:01:46 PM","False","False","False","False","False","8149206","109233"
"dbo.TNDSERV12","USER_TABLE","PK_TNDSERV12","10/30/2023 11:20:13 PM","False","False","False","False","False","7240689","99385"
"dbo.LichSuHuyChietKhauPOS","USER_TABLE","PK_LichSuHuyGiaoDich","10/20/2023 1:00:03 AM","False","False","False","False","False","37","4"
"dbo.History_KhachHang","USER_TABLE","PK__History_KhachHang__095F58DF","9/29/2023 1:00:01 AM","False","False","False","False","False","23239","1499"
"dbo.KhachHang","USER_TABLE","IX_KhachHang_MaThe7","9/28/2023 10:11:37 AM","False","False","False","False","False","3317508","16419"
"dbo.CauHinhSKU_LoaiDMH","USER_TABLE","PK__CauHinhSKU_LoaiDMH","7/19/2023 1:00:21 AM","False","False","False","False","False","89","4"
"dbo.CTPhatSinh06","USER_TABLE","PK__CTPhatSinh06","7/12/2023 1:00:00 AM","False","False","False","False","False","937533","32711"
"dbo.CTPhatSinh06","USER_TABLE","IX_CTPhatSinh_MaThe13","7/11/2023 5:24:43 AM","False","False","False","False","False","937533","8136"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_MaDot","6/16/2023 10:21:37 AM","False","False","False","False","False","32","2"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_GhiChu","6/16/2023 10:21:36 AM","False","False","False","False","False","32","2"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_NgayPhat","6/16/2023 10:21:36 AM","False","False","False","False","False","32","2"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_MaThe13","6/16/2023 10:21:36 AM","False","False","False","False","False","32","2"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_Mathe7","6/16/2023 10:21:36 AM","False","False","False","False","False","32","2"
"dbo.CTPhatSinh05","USER_TABLE","PK__CTPhatSinh05","6/12/2023 1:00:01 AM","False","False","False","False","False","969226","33819"
"dbo.CTPhatSinh05","USER_TABLE","IX_CTPhatSinh_MaThe13","6/11/2023 6:02:23 AM","False","False","False","False","False","969226","8412"
"dbo.CTPhatSinh04","USER_TABLE","PK__CTPhatSinh04","5/12/2023 1:00:00 AM","False","False","False","False","False","965562","33691"
"dbo.CTPhatSinh04","USER_TABLE","IX_CTPhatSinh_MaThe13","5/11/2023 6:54:35 AM","False","False","False","False","False","965562","8379"
"dbo.CTPhatSinh03","USER_TABLE","PK__CTPhatSinh03","4/12/2023 1:00:01 AM","False","False","False","False","False","963090","33604"
"dbo.CTPhatSinh03","USER_TABLE","IX_CTPhatSinh_MaThe13","4/11/2023 5:54:04 AM","False","False","False","False","False","963090","8358"
"dbo.CTPhatSinh02","USER_TABLE","PK__CTPhatSinh02","3/12/2023 1:00:00 AM","False","False","False","False","False","835420","29149"
"dbo.CTPhatSinh02","USER_TABLE","IX_CTPhatSinh_MaThe13","3/11/2023 7:09:41 AM","False","False","False","False","False","835420","7250"
"dbo.CTPhatSinh01","USER_TABLE","PK__CTPhatSinh01","2/12/2023 1:00:00 AM","False","False","False","False","False","813749","28393"
"dbo.CTPhatSinh01","USER_TABLE","IX_CTPhatSinh_MaThe13","2/11/2023 7:21:45 AM","False","False","False","False","False","813749","7064"
"dbo.STAMPTRX","USER_TABLE","PK_STAMPTRX","1/7/2023 1:00:06 AM","False","False","False","False","False","6017","86"
"dbo.ExceptionPOS","USER_TABLE","PK_ExceptionPOS","1/7/2023 1:00:06 AM","False","False","False","False","False","1448","13"
"dbo.History_KhachHang","USER_TABLE","IX_History_KhachHang_HoLot","1/7/2023 1:00:06 AM","False","False","False","False","False","23239","227"
"dbo.History_KhachHang","USER_TABLE","IX_History_KhachHang_MaThe7","1/7/2023 1:00:06 AM","False","False","False","False","False","23239","206"
"dbo.NhanThuong_SieuThi","USER_TABLE","PK__QuaThuong_SieuTh__6C8E1007","1/1/2023 8:40:11 AM","False","False","False","False","False","1639","9"
"dbo.GiftPromotion_Canceled","USER_TABLE","PK_GiftPromotion_Canceled","1/1/2023 8:40:09 AM","False","False","False","False","False","31","4"
"dbo.API_Log","USER_TABLE","PK_API_Log","1/1/2023 8:39:38 AM","False","False","False","False","False","193","7"
"dbo.NhanThuong_QuaTang","USER_TABLE","PK__NhanThuong_QuaTa__60283922","1/1/2023 8:39:37 AM","False","False","False","False","False","1606","16"
"dbo.PhuongXa","USER_TABLE","PK__PhuongXa__4850AF91","1/1/2023 6:28:53 AM","False","False","False","False","False","11846","98"
"dbo.ChiThuongCuoiNam","USER_TABLE","PK__ChiThuongCuoiNam__674A37FD","1/1/2023 5:40:19 AM","False","False","False","False","False","2482186","52016"
"dbo.Version","USER_TABLE","PK_Version","1/1/2023 1:35:21 AM","False","False","False","False","False","10","2"
"dbo.UpdateList","USER_TABLE","PK_UpdateList","1/1/2023 1:35:21 AM","False","False","False","False","False","38","3858"
"dbo.TinhTP","USER_TABLE","PK__TinhTP__44801EAD","1/1/2023 1:35:20 AM","False","False","False","False","False","64","2"
"dbo.SieuThi","USER_TABLE","PK__SieuThi__0777106D","1/1/2023 1:35:20 AM","False","False","False","False","False","578","19"
"dbo.QuyenNhanVien","USER_TABLE","PK__QuyenNhanVien__2374309D","1/1/2023 1:35:20 AM","False","False","False","False","False","59903","949"
"dbo.QuocGia","USER_TABLE","PK__QuocGia__597B3B93","1/1/2023 1:35:20 AM","False","False","False","False","False","141","5"
"dbo.QuaTang","USER_TABLE","PK__QuaTang__3DD3211E","1/1/2023 1:35:20 AM","False","False","False","False","False","47","2"
"dbo.QuanHuyen","USER_TABLE","PK__QuanHuyen__4668671F","1/1/2023 1:35:20 AM","False","False","False","False","False","793","8"
"dbo.NhomQuyen","USER_TABLE","PK__NhomQuyen__4C214075","1/1/2023 1:35:19 AM","False","False","False","False","False","11","2"
"dbo.NhomNhanVien_DMQuyen","USER_TABLE","PK__NhomNhanVien_DMQ__4E0988E7","1/1/2023 1:35:19 AM","False","False","False","False","False","474","5"
"dbo.NhomNhanVien","USER_TABLE","PK__NhomNhanVien__27E3DFFF","1/1/2023 1:35:19 AM","False","False","False","False","False","17","2"
"dbo.NhanThuong_QuaTang_CapDo","USER_TABLE","PK__NhanThuong_QuaTa__6383C8BA","1/1/2023 1:35:17 AM","False","False","False","False","False","276","5"
"dbo.NhanThuong","USER_TABLE","PK__NhanThuong__66D536B1","1/1/2023 1:35:17 AM","False","False","False","False","False","618","628"
"dbo.NhaCungCap","USER_TABLE","PK__NhaCungCap__51DA19CB","1/1/2023 1:35:17 AM","False","False","False","False","False","2","2"
"dbo.NgheNghiep","USER_TABLE","PK__NgheNghiep__5B638405","1/1/2023 1:35:17 AM","False","False","False","False","False","12","2"
"dbo.LyDo","USER_TABLE","PK__LyDo__3335971A","1/1/2023 1:35:17 AM","False","False","False","False","False","19","2"
"dbo.LoaiLyDo","USER_TABLE","PK__LoaiLyDo__351DDF8C","1/1/2023 1:35:17 AM","False","False","False","False","False","7","2"
"dbo.LoaiKhuyenMai","USER_TABLE","PK__LoaiKhuyenMai__40AF8DC9","1/1/2023 1:35:17 AM","False","False","False","False","False","13","2"
"dbo.LoaiDongThuongHieu","USER_TABLE","PK_LoaiDongThuongHieu","1/1/2023 1:35:16 AM","False","False","False","False","False","59","4"
"dbo.KyTuDinhDang","USER_TABLE","PK_KyTuDinhDang","1/1/2023 1:35:16 AM","False","False","False","False","False","9","2"
"dbo.KhuyenMaiPOS","USER_TABLE","PK_KhuyenMaiPOS","1/1/2023 1:35:16 AM","False","False","False","False","False","87","5"
"dbo.KhuyenMai_SieuThiPOS","USER_TABLE","PK__KhuyenMai_SieuThi","1/1/2023 1:35:16 AM","False","False","False","False","False","87","2"
"dbo.KhuyenMai_SieuThi","USER_TABLE","PK__KhuyenMai_SieuTh__5E3FF0B0","1/1/2023 1:35:16 AM","False","False","False","False","False","77","2"
"dbo.KhuyenMai","USER_TABLE","PK__KhuyenMai__3631FF56","1/1/2023 1:35:16 AM","False","False","False","False","False","77","4"
"dbo.KhuVuc","USER_TABLE","PK__KhuVuc__6B1AC8E1","1/1/2023 1:35:16 AM","False","False","False","False","False","15","2"
"dbo.DieuKienKhuyenMaiPOS","USER_TABLE","PK_DieuKienKhuyenMaiPOS","1/1/2023 1:35:15 AM","False","False","False","False","False","578","12"
"dbo.CTQuyenNhomNhanVien","USER_TABLE","PK_CTQuyenNhomNhanVien","1/1/2023 1:35:15 AM","False","False","False","False","False","209","5"
"dbo.CTQuyenNhanVien","USER_TABLE","PK_CTQuyenNhanVIen","1/1/2023 1:35:15 AM","False","False","False","False","False","51075","908"
"dbo.CTNhomQuyen","USER_TABLE","PK__CTNhomQuyen__4FF1D159","1/1/2023 1:35:15 AM","False","False","False","False","False","141","2"
