"machine_name","server_name","Database Name","recovery_model","Uncompressed Backup Size (MB)","Compressed Backup Size (MB)","Compression Ratio","has_backup_checksums","is_copy_only","encryptor_type","Backup Elapsed Time (sec)","Backup Finish Date","Backup Location","physical_block_size"
"DC-SQL06","DC-SQL06\DBCF","AccessConfig","FULL","2","2","1.00","False","False","","1","2/24/2022 2:30:21 AM","X:\105_DCSQL06_DBCF\AccessConfig_2022_02_24.bak","512"
"DC-SQL06","DC-SQL06\DBCF","AccessConfig","FULL","2","0","5.19","False","True","","0","10/7/2018 3:28:26 PM","\\dc-sql06\BK_AOG\AccessConfig.bak","512"
