"volume_mount_point","file_system_type","logical_volume_name","Total Size (GB)","Available Size (GB)","Space Free %","supports_compression","is_compressed","supports_sparse_files","supports_alternate_streams"
"D:\","NTFS","Data","129.24","16.35","12.65","1","0","1","1"
"E:\","NTFS","DC-STANDALONE-DBCF","999.87","163.68","16.37","1","0","1","1"
