"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.CTPhatSinh10","USER_TABLE","PK__CTPhatSinh10","11/12/2025 1:00:01 AM","False","False","False","False","False","952514","33236"
"dbo.CTPhatSinh10","USER_TABLE","IX_CTPhatSinh_MaThe13","11/11/2025 5:51:50 AM","False","False","False","False","False","952514","8266"
"dbo.NhanVien","USER_TABLE","PK__NhanVien__100C566E","11/10/2025 3:02:15 AM","False","False","False","False","False","3186","229"
"dbo.History_PrintVoucher","USER_TABLE","PK_History_PrintVoucher","10/17/2025 1:46:09 PM","False","False","False","False","False","23","3"
"dbo.NhomNhanVien_DMQuyen","USER_TABLE","PK__NhomNhanVien_DMQ__4E0988E7","10/17/2025 1:14:40 PM","False","False","False","False","False","497","7"
"dbo.CTQuyenNhanVien","USER_TABLE","PK_CTQuyenNhanVIen","10/16/2025 1:00:12 AM","False","False","False","False","False","57133","919"
"dbo.QuyenNhanVien","USER_TABLE","PK__QuyenNhanVien__2374309D","10/16/2025 1:00:08 AM","False","False","False","False","False","101971","1490"
"dbo.CTPhatSinh09","USER_TABLE","PK__CTPhatSinh09","10/12/2025 1:00:00 AM","False","False","False","False","False","924630","32277"
"dbo.CTPhatSinh09","USER_TABLE","IX_CTPhatSinh_MaThe13","10/11/2025 6:21:40 AM","False","False","False","False","False","924630","8025"
"dbo.LichSuHuyChietKhauPOS","USER_TABLE","PK_LichSuHuyGiaoDich","10/11/2025 1:00:24 AM","False","False","False","False","False","62","7"
"dbo.GiftPromotion_ST","USER_TABLE","IX_GiftPromotion_NgayPhat","10/9/2025 1:00:09 AM","False","False","False","False","False","1441","6"
"dbo.DieuKienKhuyenMaiPOS","USER_TABLE","PK_DieuKienKhuyenMaiPOS","10/2/2025 12:04:03 PM","False","False","False","False","False","1727","37"
"dbo.PhuongXa","USER_TABLE","PK__PhuongXa__4850AF91","9/23/2025 1:00:18 AM","False","False","False","False","False","3322","23"
"dbo.QuanHuyen","USER_TABLE","PK__QuanHuyen__4668671F","9/22/2025 12:04:03 PM","False","False","False","False","False","35","8"
"dbo.KhuyenMai_SieuThiPOS","USER_TABLE","PK__KhuyenMai_SieuThi","9/15/2025 1:00:18 AM","False","False","False","False","False","1601","8"
"dbo.CTPhatSinh08","USER_TABLE","PK__CTPhatSinh08","9/12/2025 1:00:01 AM","False","False","False","False","False","937729","32730"
"dbo.CTPhatSinh08","USER_TABLE","IX_CTPhatSinh_MaThe13","9/11/2025 8:44:16 AM","False","False","False","False","False","937729","8137"
"dbo.SKU_Vendor","USER_TABLE","PK_SKU_Vendor","9/9/2025 1:00:09 AM","False","False","False","False","False","814","7"
"dbo.CTPhatSinh07","USER_TABLE","PK__CTPhatSinh07","8/12/2025 1:00:00 AM","False","False","False","False","False","922192","32189"
"dbo.CTPhatSinh07","USER_TABLE","IX_CTPhatSinh_MaThe13","8/11/2025 6:50:23 AM","False","False","False","False","False","922192","8002"
"dbo.SieuThi","USER_TABLE","PK__SieuThi__0777106D","8/1/2025 1:00:10 AM","False","False","False","False","False","923","27"
"dbo.CTPhatSinh06","USER_TABLE","PK__CTPhatSinh06","7/12/2025 1:00:00 AM","False","False","False","False","False","873833","30489"
