"machine_name","server_name","Database Name","recovery_model","Uncompressed Backup Size (MB)","Compressed Backup Size (MB)","Compression Ratio","has_backup_checksums","is_copy_only","encryptor_type","Backup Elapsed Time (sec)","Backup Finish Date","Backup Location","physical_block_size"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST22","FULL","33860","33860","1.00","False","False","","116","10/2/2024 10:22:04 AM","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Backup\KHTT_ST22.bak","512"
"DC-SQL06","DC-SQL06\DBCF","KHTT_ST22","FULL","33860","33860","1.00","False","False","","116","10/2/2024 10:22:04 AM","D:\Tuyen EOY\KHTT_ST22","512"
