"Database Name","Logical Name","file_id","type_desc","Physical Name","Size on Disk (MB)","num_of_reads","num_of_writes","io_stall_read_ms","io_stall_write_ms","IO Stall Reads Pct","IO Stall Writes Pct","Writes + Reads","MB Read","MB Written","# Reads Pct","# Write Pct","Read Bytes Pct","Written Bytes Pct"
"KHTT_ST22","KHTT_ST","1","ROWS","E:\DBCRM2017\KHTT_ST22.mdf","33878.88","37952","940","30497","1751","94.6","5.4","38892","1278.90","96.73","97.6","2.4","93.0","7.0"
"KHTT_ST22","KHTT_ST_log","2","LOG","E:\DBCRM2017\KHTT_ST22.ldf","176.94","4715","6893","22734","14893","60.4","39.6","11608","4524.94","329.87","40.6","59.4","93.2","6.8"
