"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"Monthly_Promotion052024","26796","0","NONE","6/1/2024 5:00:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion052025","29250","0","NONE","6/1/2025 5:00:27 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062022","23408","0","NONE","7/1/2022 5:02:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062023","5","0","NONE","7/1/2023 5:00:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062024","31749","0","NONE","7/1/2024 5:00:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion062025","31631","0","NONE","7/1/2025 5:00:24 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion072022","36491","0","NONE","8/1/2022 5:02:47 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion072023","5","0","NONE","8/1/2023 5:00:27 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion072024","41008","0","NONE","8/1/2024 5:00:39 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion072025","41137","0","NONE","8/1/2025 5:00:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion082022","47304","0","NONE","9/1/2022 5:02:52 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion082023","9","0","NONE","9/1/2023 5:00:31 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion082024","32291","0","NONE","9/1/2024 5:00:34 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion082025","31129","0","NONE","9/1/2025 5:00:29 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion092022","37532","0","NONE","10/1/2022 5:02:50 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion092023","16973","0","NONE","10/1/2023 5:00:28 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion092024","27143","0","NONE","10/1/2024 5:00:30 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion092025","37200","0","NONE","10/1/2025 5:00:31 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion102022","39044","0","NONE","11/1/2022 5:03:03 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion102023","28458","0","NONE","11/1/2023 5:00:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion102024","40042","0","NONE","11/1/2024 5:00:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion102025","32469","0","NONE","11/1/2025 5:00:28 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion112022","46964","0","NONE","12/1/2022 5:02:54 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion112023","17429","0","NONE","12/1/2023 5:00:33 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion112024","29679","0","NONE","12/1/2024 5:00:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"Monthly_Promotion112025","26070","0","NONE","12/1/2025 5:00:32 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
