"Database Name","Logical Name","file_id","type_desc","Physical Name","Size on Disk (MB)","num_of_reads","num_of_writes","io_stall_read_ms","io_stall_write_ms","IO Stall Reads Pct","IO Stall Writes Pct","Writes + Reads","MB Read","MB Written","# Reads Pct","# Write Pct","Read Bytes Pct","Written Bytes Pct"
"AccessConfig","AccessConfig","1","ROWS","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\AccessConfig.mdf","6.00","286","11540","271","5994","4.3","95.7","11826","8.70","90.16","2.4","97.6","8.8","91.2"
"AccessConfig","AccessConfig_log","2","LOG","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\AccessConfig_log.ldf","6.75","3012","34392","1460","21416","6.4","93.6","37404","13.09","102.89","8.1","91.9","11.3","88.7"
