"Server Name","SQL Server and OS Version Info"
"DC-SQL06\DBCF","Microsoft SQL Server 2014 (SP2-GDR) (KB4019093) - 12.0.5207.0 (X64) 
	Jul  3 2017 02:25:44 
	Copyright (c) Microsoft Corporation
	Enterprise Edition (64-bit) on Windows NT 6.3 <X64> (Build 9600: )
"
