"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"TichLuy092022","","0","0","0","HEAP","0","False","","7/15/2025 4:52:25 PM",""
"sysmergesubscriptions","unique_pubsrvdb","2","0","21","NONCLUSTERED","0","False","","",""
"sysmergesubscriptions","nc2sysmergesubscriptions","3","0","1185","NONCLUSTERED","0","False","","",""
"sysmergesubscriptions","nc3sysmergesubscriptions","4","0","363","NONCLUSTERED","0","False","","",""
"Monthly_Promotion092022","","0","0","0","HEAP","0","False","","7/15/2025 4:52:35 PM",""
"TichLuy102022","","0","0","0","HEAP","0","False","","7/15/2025 4:47:06 PM",""
"MonthlySelling_Report102022","","0","0","0","HEAP","0","False","","7/15/2025 4:52:10 PM",""
"Monthly_Promotion102022","","0","0","0","HEAP","0","False","","7/15/2025 4:47:17 PM",""
"TichLuy092024","","0","0","0","HEAP","0","False","","7/15/2025 2:54:48 PM",""
"TichLuy082024","","0","0","0","HEAP","0","False","","7/15/2025 2:59:59 PM",""
"MonthlySelling_Report092024","","0","0","0","HEAP","0","False","","7/15/2025 2:59:23 PM",""
"TichLuy082022","","0","0","0","HEAP","0","False","","7/15/2025 4:57:16 PM",""
"Monthly_Promotion092024","","0","0","0","HEAP","0","False","","7/15/2025 2:54:54 PM",""
"MonthlySelling_Report092022","","0","0","0","HEAP","0","False","","7/15/2025 4:56:59 PM",""
"TichLuy052022","","0","0","0","HEAP","0","False","","7/15/2025 5:08:30 PM",""
"MonthlySelling_Report062022","","0","0","0","HEAP","0","False","","7/15/2025 5:08:15 PM",""
"TichLuy072024","","0","0","0","HEAP","0","False","","7/15/2025 3:05:38 PM",""
"TichLuy072022","","0","0","0","HEAP","0","False","","7/15/2025 4:58:58 PM",""
"MonthlySelling_Report082024","","0","0","0","HEAP","0","False","","7/15/2025 3:05:07 PM",""
"MonthlySelling_Report082022","","0","0","0","HEAP","0","False","","7/15/2025 4:58:41 PM",""
"Monthly_Promotion082024","","0","0","0","HEAP","0","False","","7/15/2025 3:00:11 PM",""
"Monthly_Promotion082022","","0","0","0","HEAP","0","False","","7/15/2025 4:57:31 PM",""
"TichLuy042022","","0","0","0","HEAP","0","False","","7/15/2025 5:13:09 PM",""
"MonthlySelling_Report052022","","0","0","0","HEAP","0","False","","7/15/2025 5:12:57 PM",""
"sysmergesubsetfilters","uc2sysmergesubsetfilters","1","0","1185","CLUSTERED","0","False","","",""
"Monthly_Promotion052022","","0","0","0","HEAP","0","False","","7/15/2025 5:08:43 PM",""
"Monthly_Promotion062022","","0","0","0","HEAP","0","False","","7/15/2025 5:04:00 PM",""
"MonthlySelling_Report062024","","0","0","0","HEAP","0","False","","7/15/2025 3:16:32 PM",""
"Monthly_Promotion062024","","0","0","0","HEAP","0","False","","7/15/2025 3:11:28 PM",""
"TichLuy062022","","0","0","0","HEAP","0","False","","7/15/2025 5:03:51 PM",""
"TichLuy062024","","0","0","0","HEAP","0","False","","7/15/2025 3:11:17 PM",""
"MonthlySelling_Report072022","","0","0","0","HEAP","0","False","","7/15/2025 5:03:33 PM",""
"MonthlySelling_Report072024","","0","0","0","HEAP","0","False","","7/15/2025 3:10:40 PM",""
"Monthly_Promotion072022","","0","0","0","HEAP","0","False","","7/15/2025 4:59:08 PM",""
"MSmerge_altsyncpartners","uciMSmerge_altsyncpartners","1","0","3555","CLUSTERED","0","False","","",""
"Monthly_Promotion072024","","0","0","0","HEAP","0","False","","7/15/2025 3:05:48 PM",""
"Monthly_Promotion022023","","0","0","0","HEAP","0","False","","7/15/2025 4:32:53 PM",""
"MonthlySelling_Report022023","","0","0","0","HEAP","0","False","","7/15/2025 4:37:11 PM",""
"TichLuy022023","","0","0","0","HEAP","0","False","","7/15/2025 4:32:42 PM",""
"MonthlySelling_Report032023","","0","0","0","HEAP","0","False","","7/15/2025 4:32:33 PM",""
"Monthly_Promotion032023","","0","0","0","HEAP","0","False","","7/15/2025 4:29:19 PM",""
"TichLuy032023","","0","0","0","HEAP","0","False","","7/15/2025 4:29:10 PM",""
"MonthlySelling_Report042023","","0","0","0","HEAP","0","False","","7/15/2025 4:28:42 PM",""
"Monthly_Promotion042023","","0","0","0","HEAP","0","False","","7/15/2025 4:23:34 PM",""
"TichLuy042023","","0","0","0","HEAP","0","False","","7/15/2025 4:23:23 PM",""
"sysmergearticles","nc1sysmergearticles","2","0","24051","NONCLUSTERED","0","False","","",""
"MonthlySelling_Report082025","","0","0","1","HEAP","0","False","","",""
"Monthly_Promotion102023","","0","0","0","HEAP","0","False","","7/15/2025 3:49:42 PM",""
