"Database Name","Schema Name","Object Name","Index Name","index_id","index_type_desc","avg_fragmentation_in_percent","fragment_count","page_count","fill_factor","has_filter","filter_definition","allow_page_locks"
"KHTT_ST24","dbo","CTPhatSinh11","IX_CTPhatSinh_MaThe13","2","NONCLUSTERED INDEX","99.9732083054253","7464","7465","0","False","","True"
"KHTT_ST24","dbo","KhachHang","PK__KhachHang__095F58DF","1","CLUSTERED INDEX","99.927433802242","132293","132293","0","False","","True"
"KHTT_ST24","dbo","Coupon","PK_Coupon","1","CLUSTERED INDEX","99.5329725845926","44537","44537","0","False","","True"
"KHTT_ST24","dbo","TichLuyTrongNgay","IX_TichLuyTrongNgay","2","NONCLUSTERED INDEX","99.363949349361","17137","17137","0","False","","True"
"KHTT_ST24","dbo","INVTSERV12","PK_INVTSERV12","1","CLUSTERED INDEX","99.2898115269052","3643","3661","0","False","","True"
"KHTT_ST24","dbo","INVTSERV16","PK_INVTSERV16","1","CLUSTERED INDEX","99.2129162462159","4929","4955","0","False","","True"
"KHTT_ST24","dbo","INVTSERV17","PK_INVTSERV17","1","CLUSTERED INDEX","99.1912798874824","2828","2844","0","False","","True"
"KHTT_ST24","dbo","TichLuyTrongNgay","PK_TichLuyTrongNgay","1","CLUSTERED INDEX","99.1687815449542","140276","140276","0","False","","True"
"KHTT_ST24","dbo","CTPhatSinh_KhuyenMaiPOS","PK_CTPhatSinh_KhuyenMaiPOS","1","CLUSTERED INDEX","99.0470139771283","3148","3148","0","False","","True"
"KHTT_ST24","dbo","CTPhatSinh_KhuyenMai","PK_CTPhatSinh_KhuyenMai","1","CLUSTERED INDEX","89.6987873255966","6963","7669","0","False","","True"
"KHTT_ST24","dbo","TichLuy","PK__TichLuy__1B7E091A","1","CLUSTERED INDEX","85.6907368680034","71114","81290","0","False","","True"
"KHTT_ST24","dbo","CTNhanThuong","PK__CTNhanThuong__54B68676","1","CLUSTERED INDEX","80.827026434134","60815","72936","0","False","","True"
"KHTT_ST24","dbo","Coupon","IX_Coupon_MaThe13","3","NONCLUSTERED INDEX","69.7717890801464","9372","12839","0","False","","True"
"KHTT_ST24","dbo","LichSuCapTheST","","0","HEAP","68.8588007736944","357","3196","0","False","","True"
"KHTT_ST24","dbo","CTNhanThuongTrongNgay","PK_CTNhanThuongTrongNgay","1","CLUSTERED INDEX","63.5326757090012","2142","3244","0","False","","True"
"KHTT_ST24","dbo","KhachHang","IX_KhachHang_CMND","7","NONCLUSTERED INDEX","63.0616634799235","16976","25104","0","False","","True"
"KHTT_ST24","dbo","INVTSERV14","PK_INVTSERV14","1","CLUSTERED INDEX","61.2659819744288","3049","4771","0","False","","True"
"KHTT_ST24","dbo","KhachHang","IX_KhachHang_HoLot","5","NONCLUSTERED INDEX","60.8753160863645","16529","25705","0","False","","True"
"KHTT_ST24","dbo","INVTSERV10","PK_INVTSERV10","1","CLUSTERED INDEX","58.0898523405592","3903","6366","0","False","","True"
"KHTT_ST24","dbo","TNDSERV15","PK_TNDSERV15","1","CLUSTERED INDEX","57.5082558351355","129512","214091","0","False","","True"
"KHTT_ST24","dbo","The","IX_The_MaThe13","2","NONCLUSTERED INDEX","57.1760990609158","7408","12033","0","False","","True"
"KHTT_ST24","dbo","TichLuy","IX_TichLuy_MaThe13","2","NONCLUSTERED INDEX","57.0500541350879","7351","12007","0","False","","True"
"KHTT_ST24","dbo","TNDSERV17","PK_TNDSERV17","1","CLUSTERED INDEX","55.5614412624841","54108","90615","0","False","","True"
"KHTT_ST24","dbo","INVTSERV13","PK_INVTSERV13","1","CLUSTERED INDEX","52.9025570145128","1664","2894","0","False","","True"
"KHTT_ST24","dbo","History_INVTSERV06","","0","HEAP","50.6012757502876","19367","305929","0","False","","True"
"KHTT_ST24","dbo","History_INVTSERV11","","0","HEAP","50.0418568226621","18540","296164","0","False","","True"
"KHTT_ST24","dbo","History_INVTSERV12","","0","HEAP","46.7604861555332","15359","262594","0","False","","True"
"KHTT_ST24","dbo","The","PK__The__02B25B50","1","CLUSTERED INDEX","45.8444660351389","25475","49404","0","False","","True"
"KHTT_ST24","dbo","History_TNDSERV09","","0","HEAP","45.3925971813536","2932","51590","0","False","","True"
"KHTT_ST24","dbo","TNDSERV12","PK_TNDSERV12","1","CLUSTERED INDEX","44.9893638721333","85297","171585","0","False","","True"
"KHTT_ST24","dbo","TNDSERV16","PK_TNDSERV16","1","CLUSTERED INDEX","43.9764128364684","95657","196378","0","False","","True"
"KHTT_ST24","dbo","History_INVTSERV07","","0","HEAP","43.1270002341738","16591","307348","0","False","","True"
"KHTT_ST24","dbo","CTPhatSinh","IX_CTPhatSinh","2","NONCLUSTERED INDEX","41.651678332286","43991","92294","0","False","","True"
"KHTT_ST24","dbo","History_INVTSERV03","","0","HEAP","41.6159884266081","15555","298534","0","False","","True"
"KHTT_ST24","dbo","History_INVTSERV04","","0","HEAP","40.9780428857922","15960","311055","0","False","","True"
