"Database Name","Logical Name","file_id","type_desc","Physical Name","Size on Disk (MB)","num_of_reads","num_of_writes","io_stall_read_ms","io_stall_write_ms","IO Stall Reads Pct","IO Stall Writes Pct","Writes + Reads","MB Read","MB Written","# Reads Pct","# Write Pct","Read Bytes Pct","Written Bytes Pct"
"SGCReport","SGCReport","1","ROWS","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\SGCReport.mdf","31529.88","199670","465689","1003343","3992740","20.1","79.9","665359","59944.16","62605.14","30.0","70.0","48.9","51.1"
"SGCReport","SGCReport_log","2","LOG","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\SGCReport_log.ldf","813.50","91030","1796430","426693","2508704","14.5","85.5","1887460","83256.67","79802.40","4.8","95.2","51.1","48.9"
