"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","8892","114","331790","4253","344655","4418","0","12/11/2025 11:53:08 AM"
"select ISNULL(mirroring_role,0) from sys.database_","29","58","2","1698","58","1700","58","0","12/11/2025 2:22:25 PM"
"select physical_name, 'usage' = (case type when 1 ","29","58","2","2362","81","2366","81","0","12/11/2025 2:22:25 PM"
"select top 1 substring(convert(nvarchar(22),backup","29","350204","12076","2729502","94120","1139116","39279","0","12/11/2025 2:22:25 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","29","58","2","2386","82","2389","82","0","12/11/2025 2:22:25 PM"
"select data_space_id, reservedpages = sum(a.total_","29","34017","1173","206494","7120","209502","7224","0","12/11/2025 2:22:25 PM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","29","3248","112","12758","439","12760","440","0","12/11/2025 2:22:25 PM"
"select name, dbid, chsuid=substring(suser_sname(si","29","58","2","3822","131","3824","131","0","12/11/2025 2:22:25 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","29","320","11","11837","408","11842","408","0","12/11/2025 2:22:25 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","29","174","6","6125","211","6131","211","0","12/11/2025 2:22:25 PM"
"select ISNULL(CAST(page_verify_option AS int), -3)","29","204","7","8729","301","8732","301","0","12/11/2025 2:22:25 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","29","58","2","2923","100","2925","100","0","12/11/2025 2:22:25 PM"
"select count(*) from ""KHTT_ST23"".sys.objects   whe","29","1653","57","75684","2609","75689","2609","0","12/11/2025 2:22:25 PM"
"select file_id, file_guid, size, max_size, growth,","29","58","2","5841","201","5848","201","0","12/11/2025 2:22:25 PM"
