"node_id","node_state_desc","memory_node_id","processor_group","online_scheduler_count","idle_scheduler_count","active_worker_count","avg_load_balance","resource_monitor_state"
"0","ONLINE","0","0","20","19","61","4","True"
"1","ONLINE","1","1","20","19","57","1","True"
