"Object Name","object_id","type_desc","Statistics Name","stats_id","no_recompute","auto_created","is_incremental","is_temporary","modification_counter","rows","rows_sampled","last_updated"
"USysRibbons","181575685","USER_TABLE","_WA_Sys_00000003_0AD2A005","3","False","True","False","False","26","1","1","8/31/2012 4:06:18 PM"
"Derived_Values","501576825","USER_TABLE","_WA_Sys_00000002_1DE57479","2","False","True","False","False","6","1","1","9/18/2013 3:55:02 PM"
"USysRibbons","181575685","USER_TABLE","PK_USysRibbons","1","False","False","False","False","5","1","1","8/31/2012 2:16:57 PM"
"USysRibbons","181575685","USER_TABLE","_WA_Sys_00000002_0AD2A005","2","False","True","False","False","5","1","1","8/31/2012 4:06:18 PM"
"Derived_Values","501576825","USER_TABLE","PK_Derived_Values","1","False","False","False","False","3","1","1","9/18/2013 3:55:02 PM"
"BillCriteria","405576483","USER_TABLE","_WA_Sys_00000001_182C9B23","2","False","True","False","False","2","1","1","7/30/2013 1:54:22 PM"
"test1","53575229","USER_TABLE","_WA_Sys_00000002_03317E3D","2","False","True","False","False","1","1","1","8/30/2012 9:04:52 AM"
"test1","53575229","USER_TABLE","_WA_Sys_00000003_03317E3D","3","False","True","False","False","1","1","1","8/30/2012 9:04:52 AM"
